path	category	risk	status
EZMicroBalanceCode/Ancients/Common/AncientSavedStateFields.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Common/AncientSelectionEvidenceLog.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Lotha/LothaBlessingService.CombatEnd.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Lotha/LothaBlessingService.CombatStart.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Lotha/LothaBlessingService.CombatState.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Lotha/LothaBlessingService.CombatStateReset.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Lotha/LothaCombatHook.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Lotha/LothaRewardSelectionService.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Lotha/LothaRunHook.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Morvi/MorviBlessingService.CombatLifecycle.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Morvi/MorviBlessingService.CombatState.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Morvi/MorviCombatHook.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Morvi/MorviRunHook.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Urda/UrdaBlessingService.RunLifecycle.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Urda/UrdaBlessingService.StateParsing.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Urda/UrdaBlessingService.StateSchema.cs	cs-high-risk	high	skipped
EZMicroBalanceCode/Ancients/Expansion/Urda/UrdaCombatHook.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Expansion/Urda/UrdaRewardSelectionService.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Expansion/Urda/UrdaRootedRouteMapQuestMarker.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Expansion/Urda/UrdaRootSightMapQuestMarker.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Expansion/Urda/UrdaRunHook.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Expansion/Urda/UrdaStateCodec.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Expansion/Vakuu/VakuuFightCombatHook.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Expansion/Vakuu/VakuuFightRunHook.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/BlackStarCompensationPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/BrightestFlameExhaustDrawPatch.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/ChoicesParadoxPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/CrossbowPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/DebtAndCardPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/DistinguishedCapePatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/FiddlePatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/JeweledMaskPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/JewelryBoxPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/MeatCleaverCookPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PaelsHornPhase1Patch.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PaelsToothPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PaelsToothStoredCardService.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PickupRewardGatePatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PickupRewardPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PickupRewardService.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PreservedFogPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PrismaticGemHoverPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PrismaticGemNormalRewardDecision.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PrismaticGemPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PrismaticGemReplacementCleanup.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PrismaticGemReplacementPatches.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PrismaticGemReplacementPool.cs	cs-high-risk	high	queued
EZMicroBalanceCode/Ancients/Patches/PrismaticGemRewardContextPatches.cs	cs-high-risk	high	queued
